    REF_GAIN           0     1.09934    0.231134           3
          G1     622.806     1.76296      5670.1     156.531           0
          G2     663.546     1.60337     5409.72     182.525           0
          G3     678.651     1.80675     8104.15      249.25           0
          G4     590.454     1.52114      6067.2     170.097           0
          G5     537.739     1.32903     6322.28     205.003           0
          G6     508.631     1.50942     5574.63     171.839           0
          G7     536.541     1.59122     4375.89     140.256           0
          G8     543.344      1.5282        8494     329.274           8
          G9     643.194     1.50991     5768.11     138.917           0
         G10     598.697     1.62184     6451.93     154.836           0
         G11     451.921     1.69741     6888.62     179.312           0
         G12     511.517     1.74613     4877.63     145.979           0
         G13     607.628     1.77172     3691.92     126.115           0
         G14     435.141     1.68034     3477.43     102.846           0
         G15     528.611     1.58642      6783.8     162.422           0
         G16     378.403     1.51936           0           0           2
         G17     310.587     1.78834     7367.04     237.264           0
         G18     381.125     1.42438     6105.71     243.964           0
         G19     561.633     1.80615     5708.42     186.477           0
         G20     443.411      1.7118     4950.92     157.981           0
         G21     471.085     1.67718     5818.62     149.929           0
         G22     531.171     1.75186        8258      347.39           8
         G23     391.738     1.69291     1188.77     56.3327           0
         G24     522.674     1.51141     6075.86     172.604           0
         G25     371.219      3.1125     6079.82     171.116           0
         G26     390.407     3.33843     7508.86     201.114           0
         G27     413.697     3.89849     3929.24     152.221           0
         G28     517.592     3.08128      3264.9     139.064           0
         G29     329.898     2.43899     7303.86     271.792           0
         G30     431.052     2.96003     6555.76     176.439           0
         G31     539.545     1.46483     3875.41     153.016           0
         G32     557.212     1.53096     5899.29     151.308           0
         G33     729.564     1.48135     3935.47     96.1532           0
         G34     644.741     1.60064     1537.18     67.7975           0
         G35     705.418     1.76919     5831.92     129.301           0
         G36     624.205     1.33949     3974.48      112.65           0
         G37      490.74     1.51942     4678.14     137.384           0
         G38     347.082     1.39122     4701.55     159.276           0
         G39     468.906     1.38094     5432.77      176.51           0
         G40     461.844     1.51573     7418.92     267.273           0
         G41     291.537      1.3815      6904.6     211.941           0
         G42     377.923     1.59362     5060.66     167.604           0
         G43       382.2     1.72159     5247.44     146.061           0
         G44     256.162     1.17405     2001.39     109.368           0
         G45     324.282     1.43472     3843.87     129.395           0
         G46     320.378      1.5212     5136.91       134.3           0
         G47     236.019     1.10378     4961.14      156.61           0
         G48     208.084     1.23144           0           0           2
         G49     430.066      1.5973     4051.85     118.353           0
         G50     343.583      1.4943     6686.44     165.188           0
         G51     379.848     1.53607     4861.15     146.378           0
         G52     538.572     1.65105     3902.13     125.705           0
         G53     325.793     1.30731     5642.38       196.3           0
         G54     376.999     1.33904     2797.25     85.3511           0
         G55     231.594     3.19719     3134.65      112.89           0
         G56     391.492     3.12597     4881.53     162.355           0
         G57     601.844     2.84341     1409.94     62.3226           0
         G58     579.959     3.42002     3129.91     136.046           0
         G59     600.754     3.32594     6249.17     175.943           0
         G60     507.292     2.74795     5659.25     191.534           0
         G61     490.848     1.32665     4751.91     150.217           0
         G62     481.233     1.32777     7878.26     270.244           0
         G63     527.025     1.48323     5375.39     147.912           0
         G64      575.83     1.14601     6943.37      198.16           0
         G65     680.365     1.83518     7591.78      223.08           0
         G66     589.798     1.63628     7577.52     192.162           0
         G67     394.504     1.21757     4832.79     132.525           0
         G68     369.716     1.26192     4497.04     114.484           0
         G69     525.199     1.28306     8060.42     212.552           0
         G70     458.885     1.37023     6952.18     166.932           0
         G71     363.901     1.46407     4779.93     136.631           0
         G72     454.815     1.30005        4824      133.98           0
         G73     310.625     1.24333     6375.11     188.213           0
         G74     295.379     1.35422     6925.45     269.984           0
         G75     388.497     1.30092     4721.05     131.234           0
         G76     263.845     2.05621     7501.89     274.716           0
         G77     253.628     1.22856           0           0           2
         G78     368.902     1.41893     4928.65     173.508           0
         G79     372.171     1.48869     4344.29     137.261           0
         G80     524.496     1.20249     4390.38     133.173           0
         G81     610.865     1.51141     4034.57     100.863           0
         G82     500.199     1.27913     8696.74     274.544           8
         G83     335.386     1.38579     5637.85     182.571           0
         G84      560.52     1.29503     7742.55     197.539           0
         G85     370.799     2.90226     5138.47     148.615           0
         G86     360.655     3.46326     4302.62     169.783           0
         G87     499.222      3.1558     3812.05     131.069           0
         G88     476.096     2.32849     5205.29     174.004           0
         G89     625.986      2.8895     5857.81     250.753           0
         G90      544.16     2.57206     4168.95     128.933           0
         G91     644.185     1.76404      6260.6     166.566           0
         G92     640.778     1.60622     5316.75     173.039           0
         G93     566.491      1.8176     4191.55     137.645           0
         G94     602.761     1.54968     3913.82     123.103           0
         G95     602.147     1.57756     5940.15     173.616           0
         G96     644.326     1.52919     4914.03     112.929           0
         G97     544.244     1.24548     6607.85      203.69           0
         G98     431.599     1.18169     6811.14     211.526           0
         G99     646.316     1.28035     6685.38     216.639           0
        G100     495.111     1.63063        4518     141.549           0
        G101     649.069     1.81152     7409.62     161.065           0
        G102     441.117     1.26969     6072.98     159.807           0
        G103     498.634     1.59344     6666.23     195.046           0
        G104     376.965     1.32895      4178.5      146.35           0
        G105      533.89     1.49913     6535.14     173.295           0
        G106     445.538     1.51899     5086.69     158.769           0
        G107     365.303     1.13764           0           0           2
        G108      393.29     1.33708     4022.84     128.598           0
        G109     517.831     1.65861     7062.51     201.451           0
        G110      599.61     1.50865     7132.65     235.365           0
        G111     390.828     1.24251     4178.58     149.688           0
        G112     582.082     1.60571     3639.94     106.218           0
        G113     523.822      1.2324     5083.74     151.935           0
        G114     510.917     1.41999     6117.95      169.91           0
        G115     530.309     2.55581     4254.99      128.46           0
        G116     518.919     3.12857     4459.52     130.301           0
        G117     367.784     3.54272     4424.42     120.839           0
        G118     450.239     2.95167     3297.18     95.3555           0
        G119     512.585     2.95175      2958.9     100.688           0
        G120     368.216     2.40917      4770.8     124.474           0
        G121     626.466     2.03371     5184.68     130.545           0
        G122     671.601     1.86425      3103.9     85.3714           0
        G123     639.136     1.87533     4648.31     116.495           0
        G124     663.303     1.75025     3608.93     98.7728           0
        G125     538.977     1.73994     3466.93      97.145           0
        G126       583.6     1.42175     5992.12     173.658           0
        G127     413.058      1.2842     4377.19     103.518           0
        G128     309.073     1.25182     4259.17     115.494           0
        G129     462.749     1.15145     3219.08     87.1159           0
        G130     245.117     1.33989      4616.1     132.411           0
        G131     396.552     1.63155     5796.26     131.447           0
        G132     444.094     1.25282     5607.11      158.55           0
        G133     469.204     1.23141     3582.97     103.064           0
        G134     266.948     1.42575     3054.71     107.819           0
        G135     495.254     1.09672     4063.45     122.938           0
        G136     257.017     1.15369     4904.68     132.797           0
        G137      246.93     1.35075     4080.68     121.958           0
        G138     314.357     1.14131     6711.48     181.857           0
        G139      318.66     1.34792     3632.98     121.243           0
        G140     363.327     1.51666     4102.09     111.932           0
        G141      371.38     1.16807     5030.35     157.564           0
        G142      291.19     1.18677     6058.79     195.548           0
        G143      271.61     1.52175     5619.98     163.549           0
        G144      473.07     1.13313     3734.67     106.562           0
        G145     459.438     3.51499     5062.56     161.667           0
        G146     619.249     3.13811     7886.38     262.304           0
        G147     591.116     3.60576     4487.13     157.394           0
        G148     365.822     3.11861     4475.43     158.283           0
        G149     439.124     3.13379     6639.65     190.681           0
        G150     323.506     2.48657      5162.7     142.625           0
        G151     616.649     1.69036     6458.42     197.339           0
        G152     609.403     1.52772     3268.44     96.1828           0
        G153     442.476     1.94839     3512.15     126.912           0
        G154     322.684     1.79422     6502.86      173.92           0
        G155     271.247     1.80073     5774.46     178.977           0
        G156     544.481      1.7043     3271.74      93.784           0
        G157     408.511     1.14203     6594.86     188.802           0
        G158     507.137     1.32856     6185.62     165.518           0
        G159     448.213     1.49603     4326.36     119.147           0
        G160     697.227     1.38709     4692.43     128.077           0
        G161       458.9      2.2937     5209.46     151.928           0
        G162     433.602     1.99205     3270.41     116.108           0
        G163     382.992     1.18286     4444.23     124.141           0
        G164      408.51     1.91212     3625.75     108.718           0
        G165      450.16     1.78346     4592.67     150.727           0
        G166     266.967     1.21617     4618.62     134.031           0
        G167     337.137     1.44792     5549.43     161.417           0
        G168     361.486     1.49911     5171.75     139.728           0
        G169     336.788     1.22999     5404.06     149.955           0
        G170     514.601     1.86135     3007.51     94.2802           0
        G171     525.331     1.75021     4958.73     133.317           0
        G172     342.097     1.33019      4919.9     133.334           0
        G173      477.44     1.58617     4300.21     133.058           0
        G174      604.29     1.62104     4626.38     144.065           0
        G175     352.092     3.57742        4870     140.094           0
        G176     297.815     2.78722      4199.2     129.262           0
        G177     558.046     3.28479     3437.66     157.166           0
        G178     442.185      3.0908      6034.9     164.316           0
        G179     442.536     3.45985      4009.2     144.387           0
        G180     461.963     2.51954      4177.2     129.272           0
        G181     565.554     1.80096        4400     132.262           0
        G182     259.221     1.74651     3406.22      90.745           0
        G183      466.19     1.76419     3264.02     106.204           0
        G184     404.106     1.71111     5357.71      146.43           0
        G185     633.622     1.76759     3943.19     126.282           0
        G186     597.197     1.78175     2951.29     93.6414           0
        G205     478.034     3.10494     6186.12     167.483           0
        G206     428.746     3.45197     5256.57     134.164           0
        G207     426.408     2.73228     6457.56     202.256           0
        G208     480.174     2.85969     4428.64     143.343           0
        G209     660.438     2.64154     4608.46     145.185           0
        G210     622.198     2.51524     4450.49     159.252           0
        G211     658.732     2.17251     2581.42      58.447           0
        G212     462.185     1.60836     5367.99     178.888           0
